date, value
2015-01-12,1.1833
2015-01-13,1.1772
2015-01-14,1.1786
2015-01-15,1.163
2015-01-16,1.1567
2015-01-20,1.1548
2015-01-21,1.1609
2015-01-22,1.1364
2015-01-23,1.1207
2015-01-26,1.1238
2015-01-27,1.138
2015-01-28,1.1286
2015-01-29,1.1319
2015-01-30,1.1283
2015-02-02,1.1337
2015-02-03,1.1477
2015-02-04,1.1342
2015-02-05,1.1475
2015-02-06,1.1312
2015-02-09,1.1323
2015-02-10,1.1317
2015-02-11,1.1333
2015-02-12,1.1402
2015-02-13,1.1389
2015-02-17,1.1409
2015-02-18,1.1396
2015-02-19,1.1366
2015-02-20,1.1379
2015-02-23,1.1334
2015-02-24,1.1339
2015-02-25,1.136
2015-02-26,1.1197
2015-02-27,1.1193
2015-03-02,1.1182
2015-03-03,1.1175
2015-03-04,1.1078
2015-03-05,1.1028
2015-03-06,1.0843
2015-03-09,1.0847
2015-03-10,1.0698
2015-03-11,1.0545
2015-03-12,1.0634
2015-03-13,1.0493
2015-03-16,1.0563
2015-03-17,1.0594
2015-03-18,1.0869
2015-03-19,1.0654
2015-03-20,1.0817
2015-03-23,1.0946
2015-03-24,1.0923
2015-03-25,1.0969
2015-03-26,1.0882
2015-03-27,1.089
2015-03-30,1.0832
2015-03-31,1.0738
2015-04-01,1.0761
2015-04-02,1.0879
2015-04-06,1.0923
2015-04-07,1.0815
2015-04-08,1.0779
2015-04-09,1.0658
2015-04-10,1.0603
2015-04-13,1.0564
2015-04-14,1.0652
2015-04-15,1.0685
2015-04-16,1.076
2015-04-17,1.0808
2015-04-20,1.0736
2015-04-21,1.0734
2015-04-22,1.0724
2015-04-23,1.0823
2015-04-24,1.087
2015-04-27,1.0887
2015-04-28,1.0981
2015-04-29,1.1125
2015-04-30,1.1221
2015-05-01,1.1198
2015-05-04,1.1148
2015-05-05,1.1184
2015-05-06,1.1347
2015-05-07,1.1265
2015-05-08,1.1209
2015-05-11,1.1153
2015-05-12,1.1213
2015-05-13,1.1351
2015-05-14,1.1407
2015-05-15,1.1445
2015-05-18,1.1313
2015-05-19,1.1148
2015-05-20,1.1095
2015-05-21,1.1112
2015-05-22,1.1015
2015-05-26,1.0874
2015-05-27,1.0904
2015-05-28,1.0949
2015-05-29,1.0986
2015-06-01,1.0927
2015-06-02,1.1151
2015-06-03,1.1275
2015-06-04,1.1238
2015-06-05,1.1114
2015-06-08,1.1291
2015-06-09,1.1283
2015-06-10,1.1324
2015-06-11,1.1258
2015-06-12,1.1266
2015-06-15,1.1283
2015-06-16,1.1248
2015-06-17,1.1337
2015-06-18,1.1359
2015-06-19,1.1352
2015-06-22,1.1341
2015-06-23,1.1167
2015-06-24,1.1205
2015-06-25,1.1205
2015-06-26,1.1167
2015-06-29,1.1236
2015-06-30,1.1147
2015-07-01,1.1053
2015-07-02,1.1084
2015-07-03,1.1114
2015-07-06,1.1056
2015-07-07,1.1011
2015-07-08,1.1077
2015-07-09,1.1036
2015-07-10,1.1162
2015-07-13,1.1002
2015-07-14,1.1009
2015-07-15,1.095
2015-07-16,1.0875
2015-07-17,1.083
2015-07-20,1.0825
2015-07-21,1.0935
2015-07-22,1.0929
2015-07-23,1.0984
2015-07-24,1.0984
2015-07-27,1.1088
2015-07-28,1.106
2015-07-29,1.0984
2015-07-30,1.0932
2015-07-31,1.0984
2015-08-03,1.095
2015-08-04,1.0881
2015-08-05,1.0906
2015-08-06,1.0925
2015-08-07,1.0967
2015-08-10,1.1019
2015-08-11,1.1042
2015-08-12,1.1159
2015-08-13,1.115
2015-08-14,1.1109
2015-08-17,1.1078
2015-08-18,1.1024
2015-08-19,1.112
2015-08-20,1.1242
2015-08-21,1.1386
2015-08-24,1.1619
2015-08-25,1.1517
2015-08-26,1.1314
2015-08-27,1.1246
2015-08-28,1.1185
2015-08-31,1.1211
2015-09-01,1.1315
2015-09-02,1.1227
2015-09-03,1.1123
2015-09-04,1.1149
2015-09-07,1.117
2015-09-08,1.1203
2015-09-09,1.1207
2015-09-10,1.128
2015-09-11,1.1338
2015-09-14,1.1317
2015-09-15,1.1269
2015-09-16,1.129
2015-09-17,1.1435
2015-09-18,1.1298
2015-09-21,1.119
2015-09-22,1.112
2015-09-23,1.1186
2015-09-24,1.123
2015-09-25,1.1195
2015-09-28,1.1244
2015-09-29,1.1249
2015-09-30,1.1177
2015-10-01,1.1195
2015-10-02,1.1216
2015-10-05,1.1188
2015-10-06,1.1272
2015-10-07,1.1237
2015-10-08,1.1276
2015-10-09,1.1358
2015-10-12,1.1358
2015-10-13,1.1379
2015-10-14,1.1474
2015-10-15,1.1386
2015-10-16,1.1348
2015-10-19,1.1327
2015-10-20,1.1346
2015-10-21,1.1339
2015-10-22,1.1109
2015-10-23,1.1018
2015-10-26,1.1058
2015-10-27,1.1051
2015-10-28,1.0923
2015-10-29,1.0977
2015-10-30,1.1006
2015-11-02,1.1016
2015-11-03,1.0964
2015-11-04,1.0866
2015-11-05,1.0884
2015-11-06,1.0741
2015-11-09,1.0752
2015-11-10,1.0724
2015-11-11,1.0743
2015-11-12,1.0814
2015-11-13,1.0773
2015-11-16,1.0686
2015-11-17,1.0642
2015-11-18,1.066
2015-11-19,1.0734
2015-11-20,1.0646
2015-11-23,1.0636
2015-11-24,1.0643
2015-11-25,1.0624
2015-11-26,1.061
2015-11-27,1.0593
2015-11-30,1.0565
2015-12-01,1.0633
2015-12-02,1.0615
2015-12-03,1.094
2015-12-04,1.0881
2015-12-07,1.0837
2015-12-08,1.0892
2015-12-09,1.1025
2015-12-10,1.0941
2015-12-11,1.0986
2015-12-14,1.0992
2015-12-15,1.0931
2015-12-16,1.0912
2015-12-17,1.0826
2015-12-18,1.0868
2015-12-21,1.0915
2015-12-22,1.0957
2015-12-23,1.0912
2015-12-24,1.0963
2015-12-25,1.096
2015-12-28,1.0968
2015-12-29,1.092
2015-12-30,1.0933
2015-12-31,1.0862
2016-01-01,1.0856
2016-01-04,1.0831
2016-01-05,1.0748
2016-01-06,1.0781
2016-01-07,1.0932
2016-01-08,1.0922
2016-01-11,1.0859
2016-01-12,1.0858
2016-01-13,1.0877
2016-01-14,1.0865
2016-01-15,1.0916
2016-01-18,1.0892
2016-01-19,1.0908
2016-01-20,1.089
2016-01-21,1.0874
2016-01-22,1.0796
2016-01-25,1.0849
2016-01-26,1.087
2016-01-27,1.0893
2016-01-28,1.094
2016-01-29,1.0831
2016-02-01,1.0888
2016-02-02,1.0919
2016-02-03,1.1105
2016-02-04,1.1209
2016-02-05,1.1158
2016-02-08,1.1193
2016-02-09,1.1293
2016-02-10,1.1292
2016-02-11,1.1323
2016-02-12,1.1256
2016-02-15,1.1156
2016-02-16,1.1144
2016-02-17,1.1128
2016-02-18,1.1107
2016-02-19,1.113
2016-02-22,1.103
2016-02-23,1.102
2016-02-24,1.1013
2016-02-25,1.1018
2016-02-26,1.0934
2016-02-29,1.0873
2016-03-01,1.0868
2016-03-02,1.0868
2016-03-03,1.0957
2016-03-04,1.1005
2016-03-07,1.1014
2016-03-08,1.1011
2016-03-09,1.0999
2016-03-10,1.1177
2016-03-11,1.1156
2016-03-14,1.1103
2016-03-15,1.1109
2016-03-16,1.1224
2016-03-17,1.1318
2016-03-18,1.127
2016-03-21,1.1241
2016-03-22,1.1217
2016-03-23,1.1181
2016-03-24,1.1174
2016-03-25,1.1167
2016-03-28,1.1196
2016-03-29,1.1291
2016-03-30,1.1338
2016-03-31,1.138
2016-04-01,1.1391
2016-04-04,1.1391
2016-04-05,1.1384
